VIN,Stock,Milege,Interior_Color,Exterior_color,Drive_type,Model,Make,Request Info,Photo,Year,Location,Payment,Trim,Price
1GYKPMRK4PZ000082,B7033,"36,576",Gray (Sky Cool Grey),Gray (Satin Steel Metallic),Rear-Wheel Drive,LYRIQ,Cadillac,(656) 216-3046,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2023,"Rittman, OH",$530/mo est.,Luxury RWD,"$29,950.00"
1GYKPTRL6RZ135232,P4955,"1,684",Sky Cool Gray with Santorini Blue accents,Celestial Metallic,All-Wheel Drive,LYRIQ,Cadillac,(708) 766-8773,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Calumet City, IL",$713/mo est.,Sport 1 AWD,"$40,355.00"
1GYKPVRL6RZ135260,Y2349,"6,355",Blue,Gray,All-Wheel Drive,LYRIQ,Cadillac,(866) 514-5411,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Columbus, OH",$769/mo est.,Sport 2 AWD,"$43,500.00"
1GYKPTRL9SZ307386,E17462,"7,141",Gray,Silver,All-Wheel Drive,LYRIQ,Cadillac,(262) 668-8493,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2025,"Saukville, WI",$846/mo est.,Luxury 3 AWD,"$47,999.00"
1GYKPPRK9RZ110162,SX17897,"17,610",Sky Gray With Santorini Blue Accents,Stellar Black Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(609) 631-3203,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Mount Holly, NJ",$645/mo est.,Luxury 1 RWD,"$36,500.00"
1GYKPWRK0RZ136675,K1573,"9,236",Juniper,Argent Silver Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(408) 752-5102,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Santa Clara, CA",$782/mo est.,Sport 3 RWD,"$44,261.00"
1GYKPVRLXRZ131955,GX5208,"10,211",Noir,Stellar Black Metallic,All-Wheel Drive,LYRIQ,Cadillac,(815) 345-2645,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Joliet, IL",$760/mo est.,Sport 2 AWD,"$43,017.00"
1GYKPTRL4RZ100169,K28888,"24,313",Sky Gray With Santorini Blue Accents,Stellar Black Metallic,All-Wheel Drive,LYRIQ,Cadillac,(419) 827-3501,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Findlay, OH",$654/mo est.,Sport 1 AWD,"$36,993.00"
1GYKPRRL0RZ127095,RZ127095A,"3,064",Noir With Santorini Blue Accents,Radiant Red Tintcoat,All-Wheel Drive,LYRIQ,Cadillac,(269) 241-3440,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Portage, MI",$795/mo est.,Luxury 2 AWD,"$44,988.00"
1GYKPTRK0RZ101682,JU17492,"15,467",Noir With Santorini Blue Accents,Stellar Black Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(224) 509-6034,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Des Plaines, IL",$671/mo est.,Sport 1 RWD,"$37,985.00"
1GYKPPRK9RZ130623,19865,"3,471",Gray,Blue,Rear-Wheel Drive,LYRIQ,Cadillac,(904) 822-4458,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Jacksonville, FL",$684/mo est.,Luxury 1 RWD,"$38,700.00"
1GYKPPRK0RZ133801,QBT4473A,"20,306",Sky Gray With Santorini Blue Accents,Nimbus Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(309) 857-7249,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Bloomington, IL",$720/mo est.,Luxury 1 RWD,"$40,750.00"
1GYKPTRK4RZ105086,4307,"32,318",Juniper,Stellar Black Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(813) 694-5392,https://static.cargurus.com/images/forsale/2025/08/22/21/00/2024_cadillac_lyriq-pic-942218550231444683-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Seffner, FL",$610/mo est.,Sport 1 RWD,"$34,497.00"
1GYKPMRL5RZ104205,5377620,"2,297",Noir,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(210) 942-7105,https://static.cargurus.com/images/forsale/2025/09/13/03/38/2024_cadillac_lyriq-pic-6701226953890610644-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"San Antonio, TX",$668/mo est.,Tech AWD,"$37,818.00"
1GYKPVRL5RZ119695,P6277,"10,829",Sky Cool Gray with Santorini Blue accents,Argent Silver Metallic,All-Wheel Drive,LYRIQ,Cadillac,(703) 783-5864,https://static.cargurus.com/images/forsale/2025/08/26/00/15/2024_cadillac_lyriq-pic-5889739255310727780-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Alexandria, VA",$760/mo est.,Sport 3 AWD,"$43,000.00"
1GYKPPRL1RZ116983,5P42,"13,369",Sky Cool Gray,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(309) 245-7610,https://static.cargurus.com/images/forsale/2025/09/03/07/41/2024_cadillac_lyriq-pic-3634900691687564794-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Pekin, IL",$720/mo est.,Luxury 1 AWD,"$40,777.00"
1GYKPMRL5RZ111395,25N651,"12,090",Noir,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(765) 266-2006,https://static.cargurus.com/images/forsale/2025/09/11/17/52/2024_cadillac_lyriq-pic-7395092929346148317-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Fishers, IN",$671/mo est.,Tech AWD,"$37,950.00"
,,,,,,,,,,,,,,
1GYKPMRK1PZ000833,PZ000833P,"17,819",Gray (Sky Cool Grey),Gray (Satin Steel Metallic),Rear-Wheel Drive,LYRIQ,Cadillac,(725) 227-9106,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2023,"Las Vegas, NV",$602/mo est.,Luxury RWD,"$34,000.00"
1GYKPSRL8RZ136988,ARZ136988,"13,687",Noir With Santorini Blue Accents,Argent Silver Metallic,All-Wheel Drive,LYRIQ,Cadillac,(937) 600-6755,https://static.cargurus.com/images/forsale/2025/10/01/13/22/2024_cadillac_lyriq-pic-2474237167266781916-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Centerville, OH",$737/mo est.,Luxury 3 AWD,"$41,700.00"
1GYKPWRL1SZ318433,Z301849A,"1,507",,Red,All-Wheel Drive,LYRIQ,Cadillac,(512) 553-0222,https://static.cargurus.com/images/forsale/2025/09/19/13/33/2025_cadillac_lyriq-pic-8075156364737406410-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2025,"Bee Cave, TX",$934/mo est.,Sport 2 AWD,"$52,999.00"
1GYKPWRK0RZ121156,RZ121156T,"3,194",Oxford Stone With Garnet Accents,Crystal White Tricoat,Rear-Wheel Drive,LYRIQ,Cadillac,(210) 361-2494,https://static.cargurus.com/images/forsale/2025/09/23/19/10/2024_cadillac_lyriq-pic-2114691622148426105-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"San Antonio, TX",$819/mo est.,Sport 3 RWD,"$46,387.00"
1GYKPWRK2RZ136175,PR6032,"7,664",Oxford Stone With Garnet Accents,Emerald Lake Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(904) 844-0968,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Jacksonville, FL",$812/mo est.,Sport 3 RWD,"$45,990.00"
,,,,,,,,,,,,,,
1GYKPPRK2RZ100573,PS100573,"22,437",Sky Gray With Santorini Blue Accents,Crystal White Tricoat,Rear-Wheel Drive,LYRIQ,Cadillac,(816) 357-9853,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Saint Joseph, MO",$601/mo est.,Luxury 1 RWD,"$33,999.00"
1GYKPPRLXRZ100068,100068,"7,359",Noir,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(904) 747-6278,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Jacksonville, FL",$732/mo est.,Luxury 2 AWD,"$41,420.00"
1GYKPPRL8RZ100408,100408,"3,151",Sky Cool Gray with Santorini Blue accents,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(443) 205-7240,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Sykesville, MD",$712/mo est.,Luxury 1 AWD,"$40,295.00"
1GYKPSRL9RZ140483,AN0905A,"12,221",Noir With Santorini Blue Accents,Radiant Red Tintcoat,All-Wheel Drive,LYRIQ,Cadillac,(317) 593-8836,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Zionsville, IN",$790/mo est.,Luxury 3 AWD,"$44,700.00"
1GYKPVRL9RZ137181,P17602,"6,005",Noir With Santorini Blue Accents,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(336) 203-7136,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Greensboro, NC",$800/mo est.,Sport 2 AWD,"$45,298.00"
1GYKPVRL0RZ138834,P15600,"4,813",Noir With Santorini Blue Accents,Argent Silver Metallic,All-Wheel Drive,LYRIQ,Cadillac,(928) 550-7122,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Cottonwood, AZ",$833/mo est.,Sport 2 AWD,"$47,162.00"
1GYKPTRL5RZ140650,FP0650,"3,147",Sky Gray With Santorini Blue Accents,Argent Silver Metallic,All-Wheel Drive,LYRIQ,Cadillac,(419) 549-5384,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Fremont, OH",$759/mo est.,Sport 1 AWD,"$42,977.00"
1GYKPTRLXRZ105327,134139,"12,786",Noir With Santorini Blue Accents,Stellar Black Metallic,All-Wheel Drive,LYRIQ,Cadillac,(513) 657-4849,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Cincinnati, OH",$726/mo est.,Sport 1 AWD,"$41,084.00"
1GYKPVRL2RZ118195,P118195,"6,589",Sky Gray With Santorini Blue Accents,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(469) 887-5330,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Plano, TX",$795/mo est.,Sport 2 AWD,"$44,998.00"
1GYKPSRL8RZ116790,G2377A,"16,958",Gray,Red,All-Wheel Drive,LYRIQ,Cadillac,(224) 267-9633,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Bartlett, IL",$742/mo est.,Luxury 3 AWD,"$41,995.00"
1GYKPTRL4SZ300832,00832B,"4,336",Juniper With Sky Gray Accents,Argent Silver Metallic,All-Wheel Drive,LYRIQ,Cadillac,(951) 904-3363,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2025,"Riverside, CA",$969/mo est.,Luxury 3 AWD,"$54,995.00"
1GYKPRRK8RZ112321,54433A,689,Sky Gray With Santorini Blue Accents,Stellar Black Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(631) 869-7637,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Bay Shore, NY",$741/mo est.,Luxury 2 RWD,"$41,919.00"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1GYKPTRK1RZ134982,LV453,"4,784",Noir With Santorini Blue Accents,Argent Silver Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(877) 320-7922,https://static.cargurus.com/images/forsale/2025/09/13/19/03/2024_cadillac_lyriq-pic-66008398520932430-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Lake Villa, IL",$795/mo est.,Sport 1 RWD,"$44,999.00"
1GYKPMRK8PZ000103,103,"34,814",Gray,Gray,Rear-Wheel Drive,LYRIQ,Cadillac,(856) 351-5361,https://static.cargurus.com/images/forsale/2025/09/23/21/57/2023_cadillac_lyriq-pic-5085445014009970934-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2023,"Maple Shade, NJ",$566/mo est.,Luxury RWD,"$31,999.00"
1GYKPPRL0RZ102136,TL104354A,"6,440",Noir,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(408) 539-6150,https://static.cargurus.com/images/forsale/2025/08/16/15/41/2024_cadillac_lyriq-pic-3354944659222969198-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"San Jose, CA",$722/mo est.,Luxury 1 AWD,"$40,879.00"
1GYKPPRK9RZ100506,23336,"25,869",Sky Cool Gray with Santorini Blue accents,Stellar Black Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(833) 569-5458,https://static.cargurus.com/images/forsale/2025/09/20/18/36/2024_cadillac_lyriq-pic-7595953983618640787-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Montclair, CA",$657/mo est.,Luxury 1 RWD,"$37,165.00"
1GYKPWRL4RZ123971,PR6035,"14,236",Sky Cool Gray With Santorini Blue Accents,Celestial Metallic,All-Wheel Drive,LYRIQ,Cadillac,(904) 844-0968,https://static.cargurus.com/images/forsale/2025/08/29/00/32/2024_cadillac_lyriq-pic-1284195324123140932-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Jacksonville, FL",$777/mo est.,Sport 3 AWD,"$43,990.00"
,,,,,,,,,,,,,,
1GYKPSRL4RZ135711,135711,"6,589",Noir With Santorini Blue Accents,Radiant Red Tintcoat,All-Wheel Drive,LYRIQ,Cadillac,(641) 326-8548,https://static.cargurus.com/images/forsale/2025/09/19/22/24/2024_cadillac_lyriq-pic-1451936088664193090-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Ottumwa, IA",$823/mo est.,Luxury 3 AWD,"$46,608.00"
1GYKPSRL3RZ136882,7758620,"8,078",,Red,All-Wheel Drive,LYRIQ,Cadillac,(636) 249-1398,https://static.cargurus.com/images/forsale/2025/08/07/21/14/2024_cadillac_lyriq-pic-1093799076816048260-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Ballwin, MO",$751/mo est.,Luxury 3 AWD,"$42,490.00"
1GYKPPRL8RZ105852,P07307A,"10,004",Sky Gray With Santorini Blue Accents,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(253) 242-6696,https://static.cargurus.com/images/forsale/2025/09/09/15/26/2024_cadillac_lyriq-pic-563418410029060122-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Hempstead, NY",$688/mo est.,Luxury 1 AWD,"$38,920.00"
1GYKPMRL2RZ103223,LLU2960,"20,472",Noir,Crystal White Tricoat,All-Wheel Drive,LYRIQ,Cadillac,(215) 999-1865,https://static.cargurus.com/images/forsale/2025/08/22/06/29/2024_cadillac_lyriq-pic-1108005371210006606-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,2024,"Lansdale, PA",$616/mo est.,Tech AWD,"$34,890.00"
1GYKPSRL2RZ138302,RZ138302,"5,110",Noir With Santorini Blue Accents,Stellar Black Metallic,All-Wheel Drive,LYRIQ,Cadillac,(269) 241-3440,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Portage, MI",$830/mo est.,Luxury 3 AWD,"$46,988.00"
,,,,,,,,,,,,,,
1GYKPMRKXPZ002550,Z002550U,"32,284",Noir,Gray (Satin Steel Metallic),Rear-Wheel Drive,LYRIQ,Cadillac,(516) 271-1238,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2023,"Huntington Station, NY",$600/mo est.,Luxury RWD,"$33,900.00"
1GYKPTRK4RZ105086,4307,"32,318",Juniper,Stellar Black Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(813) 694-5392,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Seffner, FL",$610/mo est.,Sport 1 RWD,"$34,497.00"
1GYKPSRK9RZ136957,P136957,"5,783",Noir,Argent Silver Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(877) 813-2620,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Carrollton, TX",$777/mo est.,Luxury 3 RWD,"$43,977.00"
1GYKPTRL2RZ136510,25H696,"4,719",Noir With Santorini Blue Accents,Emerald Lake Metallic,All-Wheel Drive,LYRIQ,Cadillac,(765) 266-2006,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Fishers, IN",$812/mo est.,Sport 1 AWD,"$45,946.00"
1GYKPMRK8PZ001316,54434A,"10,064",Noir,Stellar Black Metallic,Rear-Wheel Drive,LYRIQ,Cadillac,(631) 869-7637,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2023,"Bay Shore, NY",$653/mo est.,Luxury RWD,"$36,919.00"
1GYKPSRL4RZ139967,TC0480,"5,236",Noir,Opulent Blue Metallic,All-Wheel Drive,LYRIQ,Cadillac,(330) 859-6956,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Akron, OH",$795/mo est.,Luxury 3 AWD,"$44,980.00"
1GYKPSRL0RZ136368,A10566,"11,816",Noir with Santorini Blue accents,Argent Silver Metallic,All-Wheel Drive,LYRIQ,Cadillac,(301) 781-6972,https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg,2024,"Silver Spring, MD",$760/mo est.,Luxury 3 AWD,"$43,000.00"
