web-scraper-order,web-scraper-start-url,pagination-selector,image-src,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,phone,data31,data32,data33,data34,title,data35,price,title2,data36
"1759456819-11","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","","1GYKPTRL2SZ305463","E17457","5","6,275","Automatic","Gray","Electric","White","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2025","Year:","Request info","(262) 668-8493","1,705 mi away","Saukville, WI","$864/mo est.","6,275 miles","Luxury 3 AWD","Learn more about this 2025 Cadillac LYRIQ","$48,999","2025 Cadillac LYRIQ","Save this listing"
"1759456819-12","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1759456819-13","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","New arrival","1GYKPTRL7RZ107455","G260029A","Not Rated","25,236","1-Speed Automatic","Noir","Electric","Stellar Black Metallic","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(708) 726-8619","1,756 mi away","Matteson, IL","$674/mo est.","25,236 miles","Sport 1 AWD","Learn more about this 2024 Cadillac LYRIQ","$38,175","2024 Cadillac LYRIQ","Save this listing"
"1759456819-14","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","","1GYKPPRLXPZ000730","000730E","Not Rated","1,985","1-Speed Automatic","Gray (Sky Grey)","Electric","Stellar Black Metallic","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2023","Year:","Request info","(321) 486-6697","2,549 mi away","Titusville, FL","$670/mo est.","1,985 miles","Luxury AWD","Learn more about this 2023 Cadillac LYRIQ","$37,875","2023 Cadillac LYRIQ","Save this listing"
"1759456819-15","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","New arrival","1GYKPMRK5RZ122453","B260071A","Not Rated","3,755","1-Speed Automatic","Noir","Electric","Celestial Metallic","Electric","Rear-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(737) 324-6378","1,701 mi away","Austin, TX","$700/mo est.","3,755 miles","Tech RWD","Learn more about this 2024 Cadillac LYRIQ","$39,600","2024 Cadillac LYRIQ","Save this listing"
"1759456819-16","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","New arrival","1GYKPPRK3RZ105426","C260155A","Not Rated","6,436","1-Speed Automatic","Sky Gray With Santorini Blue Accents","Electric","Stellar Black Metallic","Electric","Rear-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(585) 523-1371","1,809 mi away","The Woodlands, TX","$707/mo est.","6,436 miles","Luxury 1 RWD","Learn more about this 2024 Cadillac LYRIQ","$39,999","2024 Cadillac LYRIQ","Save this listing"
"1759456819-17","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","New arrival","1GYKPWRL6RZ130808","P5608","Not Rated","6,086","Automatic","","Electric","Gray","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(941) 888-7867","2,517 mi away","Bradenton, FL","$848/mo est.","6,086 miles","Sport 3 AWD","Learn more about this 2024 Cadillac LYRIQ","$47,988","2024 Cadillac LYRIQ","Save this listing"
"1759456819-18","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","","1GYKPTRL9RZ120854","G6025A","Not Rated","29,463","1-Speed Automatic","Sky Gray With Santorini Blue Accents","Electric","Crystal White Tricoat","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(833) 335-0582","2,543 mi away","Raynham, MA","$634/mo est.","29,463 miles","Sport 1 AWD","Learn more about this 2024 Cadillac LYRIQ","$35,900","2024 Cadillac LYRIQ","Save this listing"
"1759456819-19","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","New arrival","1GYKPWRK6RZ123140","P5610","Not Rated","15,672","Automatic","","Electric","Green","Electric","Rear-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(941) 888-7867","2,517 mi away","Bradenton, FL","$768/mo est.","15,672 miles","Sport 3 RWD","Learn more about this 2024 Cadillac LYRIQ","$43,488","2024 Cadillac LYRIQ","Save this listing"
"1759456819-20","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","","1GYKPTRL0SZ301623","E17459","5","11,169","Automatic","Gray","Electric","Gray","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Interior color:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2025","Year:","Request info","(262) 668-8493","1,705 mi away","Saukville, WI","$811/mo est.","11,169 miles","Luxury 3 AWD","Learn more about this 2025 Cadillac LYRIQ","$45,999","2025 Cadillac LYRIQ","Save this listing"
"1759456819-21","https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?searchId=65358aa4-5226-4119-9d53-13aa10435819&zip=97211&distance=50000&entitySelectingHelper.selectedEntity=d3157&sourceContext=carGurusHomePageModel&sortDir=ASC&sortType=BEST_MATCH&makeModelTrimPaths=m22%2Fd3157&makeModelTrimPaths=m22&makeModelTrimPaths=m22%2Fd3444&srpVariation=DEFAULT_SEARCH&isDeliveryEnabled=true&nonShippableBaseline=11&maxAccidents=0&hideFleet=true&hideLemon=true&daysOnMarketMax=2","","https://static-assets.cargurus.com/images/site-cars/no-image-placeholder_c80f77463a1c0559e4735b57ed1d96ec8ff77ec6bce5b247bb733c96e18316b7.svg_09568b15a17955ae746cd5eecca394230418525f04876ca54ce21146bea353e9.svg","","1GYKPWRL5RZ111652","26005A","Not Rated","12,775","Automatic","","Electric","White","Electric","All-Wheel Drive","SUV / Crossover","LYRIQ","Cadillac","VIN:","Stock #:","NHTSA overall safety rating:","Mileage:","Transmission:","Fuel type:","Combined gas mileage:","Exterior color:","Engine:","Drivetrain:","Body type:","Model:","Make:","2024","Year:","Request info","(251) 255-4418","1,431 mi away","St Paul, MN","$848/mo est.","12,775 miles","Sport 3 AWD","Learn more about this 2024 Cadillac LYRIQ","$47,997","2024 Cadillac LYRIQ","Save this listing"
